,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
9,9,18000.62997,17334.69121,22456.32413,18251.35183,9630.682015,15257.06736,12734.01948,5152.735715,6750.020382,0,16294.07383,6164.567739,14082.75204,18604.12501,18718.43817,22969.72897,26847.85753,28950.92917,33058.18497,33343.88636,29303.59663,29332.60866,26143.18959,26504.92571,25513.30175,27488.18174,22158.46719,20613.79334,20937.46065,23394.93484,23299.20752,26470.30498,22498.54328,25425.465,28377.31308,28177.92446,30548.54553,29019.69443,29622.37444,37989.13319,35419.45991,32207.11092,32144.64761,33435.13331,31623.84572,29646.72626,31606.62669,31622.20635,29968.96473,31030.99807,32947.92202,32257.54984,33282.26379,31408.77952,33026.82219,34003.11529,35594.352,37628.65714,39598.21877,38905.59853,40597.45232,40135.43873,35433.90753,37723.43866,35905.16833,38442.28513,39764.27941,38248.36784,36601.67219,40130.05265,39855.10314,37566.55326,38379.19216,37100.38383,39123.03719,38027.68419,37476.06255,37506.19099,40179.04661,42270.89898,50905.4214,48932.64373,48509.25316,47016.00473,43704.89876,45578.23184,43909.96869,43857.91296,44168.68516,42499.56158,43166.94274,40636.28922,42291.43573,45245.58767,42748.50175,40725.05848,44461.30613,42130.84498,43322.92386,43673.43466
10,10,27074.77124,25387.2566,13190.81203,8925.753482,9392.441396,3783.315051,4424.68852,21443.70573,23032.64857,16294.07383,0,13295.50846,7696.18711,10379.21097,15197.76908,14975.59313,23955.88653,27986.9187,31339.65695,34405.72835,16713.80532,15850.64943,11959.98343,10893.45804,9568.768806,11289.62793,5864.931754,4453.379182,5157.01257,7720.027762,8019.339546,11039.31931,9753.778539,11578.69701,14299.08945,14730.01416,17719.61012,17634.95058,18164.74927,28369.81867,24526.28322,17710.82873,17123.31997,17978.58546,15615.24609,13356.33452,15320.72691,15544.95344,14201.09077,15493.60178,17262.08997,17106.53773,18225.78425,17110.55153,18697.65976,19855.92144,22274.68328,25497.86813,27577.42994,27703.28067,26443.75408,24642.50005,19344.19229,21594.04345,19682.48693,22215.91215,23485.0859,21958.3024,20368.94748,23912.71006,23644.89553,21491.328,22306.41004,21201.69031,23155.38354,22290.30489,22170.16009,23079.40354,26197.50365,29664.32958,37454.26279,35107.51265,34380.49859,31972.97952,28004.96367,29736.29964,27850.42214,27684.60355,27877.40059,26251.73607,26927.52381,24493.09681,26134.60755,29055.91056,26690.81172,24739.59759,28492.25023,26402.71133,27735.96987,28285.25112
11,11,23732.82088,22835.40832,22909.48331,18236.69051,10642.38211,13737.99994,11175.58464,10130.84858,11465.98157,6164.567739,13295.50846,0,8727.825604,12840.74948,12553.87064,16941.6177,20829.45475,23220.56679,27289.63946,28102.31971,28735.83288,28334.81409,24702.72005,24164.50733,22862.25172,24464.70504,18908.95851,17065.71008,17042.6795,19259.78638,18943.34412,22028.98657,17313.83982,20372.52371,23270.80254,22884.74282,25021.57424,23246.87185,23846.73589,31892.24812,35756.67026,30696.69169,30289.57888,31252.26205,28874.69507,26275.86424,28009.84143,27553.49874,25633.05793,26500.10327,28473.63255,27471.41172,28423.75109,26282.08627,27869.93099,28760.62262,30077.41549,31828.17262,33756.44807,32952.47122,39375.62752,37932.11728,32547.59858,34756.9145,32747.03732,35256.07779,36367.39824,34602.79478,32725.68072,36172.73521,35883.89205,33390.91107,34188.97172,32729.59118,34794.43543,33499.27697,32666.29115,32295.60843,34777.17279,36506.19101,50167.47491,47963.04747,47348.93158,45206.40742,41296.97012,43006.25918,41038.89846,40773.72086,40639.85651,38603.06359,39238.60921,36524.85879,38186.10939,41176.70518,38485.82072,36395.95721,40072.51174,37539.32238,38610.48299,38826.6005
12,12,29389.45568,28051.12406,20542.98968,15955.94902,12271.0254,10432.75782,8961.018513,18708.04051,20121.64844,14082.75204,7696.18711,8727.825604,0,4791.973559,7897.453829,9696.127627,17032.39964,20744.81351,24345.82133,26952.87289,24390.56286,23443.65741,19504.44744,17826.08409,16226.40633,17271.54271,11847.08042,9803.589316,9322.050785,11118.47237,10607.19087,13548.4249,8587.128433,11647.44283,14543.39705,14190.72254,16468.8487,15018.87901,15620.70247,24651.5093,32221.04534,25003.51421,24190.12316,24718.78311,21790.31529,18622.8011,20085.35526,19244.59845,17166.90259,17914.02887,19900.87765,18781.30297,19714.43401,17557.40485,19149.89799,20059.15279,21519.24299,23617.95327,25618.86908,25087.28683,33694.9967,31165.05998,25197.69319,27273.71429,25122.38973,27554.49368,28461.31312,26516.51466,24486.96217,27842.07736,27546.50497,24945.32981,25728.85887,24181.04847,26255.5368,24875.9075,23959.77458,23589.34079,26146.07338,28227.69842,44806.03156,42369.68524,41544.42642,38711.59251,34242.17298,35758.18466,33534.31787,33078.46941,32576.33211,30293.12303,30903.19993,28094.79477,29749.09532,32744.02961,29961.87425,27848.77903,31483.76633,28881.15581,29916.6468,30108.13255
13,13,34168.31873,32807.33113,23555.35786,19269.44161,16857.65033,13856.5272,12995.86056,22970.36697,24295.05161,18604.12501,10379.21097,12840.74948,4791.973559,0,5546.740509,4999.218131,13624.3518,17798.84044,21000.5528,24399.75578,26186.88546,24927.36231,20981.40005,18503.93301,16748.56273,17119.03691,12401.62363,10464.09114,9447.993245,10187.85633,9317.48712,11547.24826,5556.713984,8557.013796,11129.09071,10427.00437,12246.27096,10426.56096,11028.52437,19860.55409,34247.73772,25839.68899,24729.44622,24852.35573,21496.82167,17806.86397,18801.55373,17322.76571,14977.75254,15340.68302,17302.27548,15735.68034,16513.4959,13986.4395,15486.43819,16242.8716,17285.62833,19030.50368,20994.10247,20359.79165,34281.55536,30879.62972,24470.30292,26325.01617,24063.04233,26325.28879,26931.55996,24761.16791,22523.76043,25630.19007,25327.24826,22551.96719,23285.47932,21545.37297,23606.45622,21995.08063,20705.5696,19769.56229,22045.6141,23689.36292,45439.4928,42865.49015,41890.5449,38527.73246,33604.39282,34889.8929,32417.44926,31737.54571,30735.70253,28077.27125,28629.72969,25674.69554,27287.08585,30250.18232,27294.33538,25151.26835,28622.59897,25814.27241,26673.8179,26689.8709
14,14,35851.70706,34732.66461,28311.15127,23797.77384,19746.94978,18273.37501,16849.7064,22194.50547,23268.96953,18718.43817,15197.76908,12553.87064,7897.453829,5546.740509,0,5658.942559,9195.232135,12862.2342,16458.05855,19208.49424,31518.29523,30338.89516,26379.25394,24025.60413,22278.52569,22659.42852,17906.37231,15932.77286,14969.48525,15703.72481,14798.93956,16777.33347,10691.95412,13366.3843,15469.55881,14428.31071,15346.18875,12683.96577,13216.93901,19606.47383,39523.73823,31361.59606,30271.29321,30395.69511,27015.20407,23266.6916,24138.70664,22443.14002,20023.18121,20155.72649,22043.50155,20183.04746,20789.91656,17980.59666,19289.01795,19797.98045,20042.5104,20675.46327,22399.32831,21204.36527,39826.26444,36376.64522,29908.42548,31700.37147,29421.00628,31615.40992,32104.16852,29853.98017,27541.35132,30468.1512,30164.5166,27319.37972,28007.61094,26162.36795,28175.36387,26408.03969,24796.49392,23176.98941,24894.35725,25352.93565,50985.05952,48412.19474,47434.49206,44027.32512,39029.4924,40252.07726,37712.11687,36954.56559,35733.07287,32884.40986,33394.19777,30377.24018,31939.21286,34844.65544,31792.13712,29656.99522,32939.83272,29983.81814,30647.37159,30462.88408
15,15,39071.26468,37746.87671,27982.83583,23897.68879,21855.17752,18610.86584,17935.4134,26977.32951,28183.41632,22969.72897,14975.59313,16941.6177,9696.127627,4999.218131,5658.942559,0,9977.781116,14471.19038,17101.44457,21267.65232,29818.70309,28361.61299,24512.47778,21545.19625,19759.85435,19562.29217,15742.08847,14064.05534,12830.94677,12647.74599,11606.40295,12720.40104,7078.440922,8903.583093,10408.32258,9186.765478,9737.379437,7026.296013,7564.961085,15077.52235,37930.70158,28756.98545,27434.02202,27206.63071,23590.45933,19603.22633,20065.82956,17981.5993,15514.72381,15354.18059,17120.3825,15051.04321,15530.82406,12621.22,13821.58433,14243.30201,14383.57256,15193.01682,17008.45668,16038.67714,36822.32762,32692.85982,26035.64501,27605.62651,25308.49564,27313.56855,27574.3558,25224.29486,22836.66108,25521.57724,25220.20261,22337.51712,22975.9767,21062.73785,23016.32414,21158.44722,19386.75208,17566.35141,19235.65472,19893.52248,47886.11301,45214.86578,44115.50661,40301.58722,35017.45603,36044.91384,33363.16825,32458.59557,30920.49027,27886.3628,28352.3684,25304.98036,26812.3498,29654.34635,26553.29775,24439.38111,27585.65758,24572.36557,25151.94236,24905.03239
16,16,44529.00433,43534.112,37146.69271,32759.5153,28918.15825,27263.70293,25991.42722,29461.1828,30243.82917,26847.85753,23955.88653,20829.45475,17032.39964,13624.3518,9195.232135,9977.781116,0,4538.347102,7383.774732,11336.24721,39625.8195,38239.48412,34347.88188,31494.82862,29708.99784,29536.53014,25599.70446,23816.73545,22647.93996,22621.48987,21583.08613,22556.78304,17055.68956,18666.30741,19570.62534,18158.19813,17424.22205,14270.92925,14509.2943,15251.04994,47726.1507,38729.75325,37411.53778,37157.72319,33510.73093,29486.51334,29782.25556,27480.39426,25034.91762,24602.47132,26154.71034,23838.65148,24034.74055,21055.8232,21825.21814,21816.00625,20629.51443,19278.00341,20340.13741,18390.02591,46782.92678,42493.70389,35792.69485,37229.92012,34943.3853,36795.65179,36849.73061,34428.72696,31999.06207,34295.59863,34004.20088,31127.50606,31664.45658,29679.59839,31454.35684,29445.79772,27277.3475,24498.77773,25015.09384,23366.39549,57821.54261,55133.69519,54006.43045,50054.47407,44639.98507,45525.59404,42747.341,41711.71092,39806.92666,36525.66484,36902.20441,33861.07259,35223.3127,37861.17584,34709.28586,32703.57346,35382.67464,32258.27401,32465.29072,31879.02871
17,17,46896.84858,46053.52241,41147.80151,36658.47499,32175.84119,31135.01188,29665.93229,30899.37442,31475.13476,28950.92917,27986.9187,23220.56679,20744.81351,17798.84044,12862.2342,14471.19038,4538.347102,0,4119.386598,6803.242439,43943.64021,42606.16433,38691.67114,35926.80907,34142.07919,34031.77284,29975.14541,28145.44055,27011.67004,27090.95193,26060.31408,27091.53044,21538.29735,23203.30747,24082.36945,22659.95043,21789.54802,18654.19544,18849.73387,17948.38495,52026.38015,43189.35545,41895.8295,41672.83409,38036.37121,34018.32085,34319.98414,32006.3409,29564.54156,29108.57615,30631.26792,28290.81237,28444.57225,25477.36995,26175.24632,26093.82204,24676.24848,22871.04558,23680.21603,21547.00493,51292.62078,47032.00643,40330.86227,41761.18828,39476.09049,41313.25645,41340.15928,38911.79693,36479.87281,38707.12348,38418.3523,35551.31015,36068.71474,34078.73714,35813.05043,33785.79463,31555.48707,28612.77132,28854.58424,26623.92236,62344.35143,59661.36891,58539.4306,54591.92756,49169.2305,50038.52919,47248.48476,46193.70005,44226.75043,40905.24104,41262.7256,38232.91314,39561.18831,42145.26908,38995.70678,37022.14449,39585.56513,36455.50107,36575.04317,35912.33257
18,18,50988.95088,50124.90111,44530.46538,40135.36323,36033.13609,34632.98774,33304.96925,35007.81553,35565.75996,33058.18497,31339.65695,27289.63946,24345.82133,21000.5528,16458.05855,17101.44457,7383.774732,4119.386598,0,5895.777047,46897.18917,45461.73161,41600.47639,38630.61792,36846.9811,36513.3883,32833.44167,31101.19046,29902.27086,29704.57409,28650.68217,29313.64093,24135.75777,25411.55864,25869.54001,24406.40967,23055.89192,20044.74224,20122.38602,16951.09355,55006.31025,45791.12259,44405.10787,44020.06419,40312.32369,36243.91864,36320.11874,33831.57176,31447.06099,30805.64342,32158.49525,29738.13368,29739.38789,26849.51637,27322.38955,27059.35821,25197.26121,22734.83735,23192.13829,20903.4244,53654.19458,49052.34443,42328.78959,43595.79753,41340.62561,43013.04265,42865.20075,40411.36205,37982.83566,39917.89147,39640.02786,36826.86938,37273.42964,35282.54395,36878.85441,34816.14888,32448.5919,29189.64523,28949.66575,25962.18744,64594.14405,61868.50004,60682.14216,56511.38421,50952.48615,51669.7894,48810.05046,47653.16393,45435.31865,41998.16701,42295.70939,39319.51202,40540.04301,42964.58757,39842.22303,37966.88464,40230.31501,37113.34201,37049.43673,36246.69371
19,19,51317.41923,50669.62246,47482.98931,42906.63132,37791.74986,37385.4463,35735.27365,34439.29287,34737.80597,33343.88636,34405.72835,28102.31971,26952.87289,24399.75578,19208.49424,21267.65232,11336.24721,6803.242439,5895.777047,0,50585.99842,49294.22613,45363.08115,42673.85998,40891.02419,40822.74754,36683.44607,34819.65862,33715.36997,33868.82925,32843.26914,33892.89122,28326.28938,30002.17191,30817.55795,29381.94436,28345.23763,25246.71629,25395.40566,22846.33021,58644.55407,49954.5045,48678.78591,48472.90695,44839.44719,40821.10832,41105.94623,38761.36627,36328.1827,35830.11456,37305.89466,34934.37199,35030.97346,32086.95634,32693.02836,32524.30575,30848.38589,28563.20123,29072.33963,26792.93619,58089.8629,53825.10179,47119.4219,48525.51018,46244.52161,48048.30397,48026.91377,45588.20514,43154.72609,45275.64424,44991.11077,42142.42521,42631.191,40637.84849,42312.74186,40265.31086,37961.48323,34830.66325,34741.04776,31855.95906,69146.70166,66464.57836,65341.89062,61375.01142,55927.30186,56761.7274,53950.71062,52863.39617,50800.27477,47424.25323,47753.894,44745.72837,46023.79528,48527.268,45388.74446,43464.13355,45863.82498,42737.39416,42742.13983,41984.02992
20,20,30565.44348,28550.68446,7667.774951,11068.05577,19690.71088,15030.6149,17560.96911,34026.65067,35583.34582,29303.59663,16713.80532,28735.83288,24390.56286,26186.88546,31518.29523,29818.70309,39625.8195,43943.64021,46897.18917,50585.99842,0,2042.756371,5318.454704,8840.545072,10477.6655,11852.72116,14080.5579,15809.25153,16995.16702,17506.21918,18563.99034,19085.10465,22920.55423,22510.11992,23598.65855,24866.8593,27692.88846,29335.09985,29646.74565,39662.06531,8112.100885,5285.767892,6780.140953,8887.542123,10965.81334,13749.51133,15437.49372,18111.22934,19174.4549,20696.90164,21079.42655,22826.47506,23774.52052,24867.28958,25827.1853,26983.04308,30228.21095,34496.29411,36338.37998,37461.59296,11600.99019,13605.07542,13294.35187,15052.76021,14925.83359,16594.51504,18535.52868,18876.02863,19214.83529,21822.49278,21723.18438,21533.15604,22101.8759,22479.85869,23413.63467,24034.60324,25631.66894,28685.03329,32022.15762,37237.36427,21612.1709,19648.06011,19315.23468,18722.07259,17316.38061,19502.05047,19218.92483,20078.9039,22404.04173,23105.60932,23764.97379,23058.52199,24154.13553,26104.32898,25418.64719,24444.91769,27432.48729,27089.53453,28743.92661,29943.75202
21,21,31745.27853,29731.46588,8642.042314,11298.15145,19803.93552,14602.29109,17193.89109,34178.70667,35755.95766,29332.60866,15850.64943,28334.81409,23443.65741,24927.36231,30338.89516,28361.61299,38239.48412,42606.16433,45461.73161,49294.22613,2042.756371,0,3963.824139,7055.85665,8767.364384,9948.332365,12639.78307,14475.49476,15596.20969,15895.41004,16958.40096,17283.69921,21386.84143,20802.66989,21764.4731,23061.34561,25841.17882,27575.37982,27868.40024,37804.84445,9711.062229,3669.309297,4911.660964,7025.692379,8926.649723,11750.0406,13403.82881,16096.48517,17217.85526,18724.39544,19064.2278,20845.6587,21780.0156,22939.09883,23865.14608,25011.71104,28263.96031,32548.90118,34374.18954,35533.28861,11267.59711,12288.97334,11363.9314,13207.74635,12962.60208,14718.60869,16653.18411,16902.47283,17188.52627,19843.03597,19736.96702,19499.76096,20074.73724,20438.11701,21384.62864,21992.69484,23592.08395,26664.89244,29996.04055,35233.89754,21832.99938,19680.26213,19185.19523,18023.71299,16049.3074,18208.9206,17693.11709,18451.67717,20620.81014,21184.19418,21851.26073,21067.27484,22190.82923,24202.01621,23438.91637,22431.43929,25458.26944,25067.11956,26721.12552,27913.62273
